,Metropolitan,County,Total Law Enforcement Employees,Total Officers,Total Civilians,State
13,,Skamania,20.0,17.0,3.0,WASHINGTON
14,,Snohomish,341.0,273.0,68.0,WASHINGTON
15,,Spokane,182.0,119.0,63.0,WASHINGTON
16,,Stevens,53.0,26.0,27.0,WASHINGTON
17,,Thurston,215.0,83.0,132.0,WASHINGTON
18,,Walla Walla,33.0,26.0,7.0,WASHINGTON
19,,Whatcom,187.0,86.0,101.0,WASHINGTON
20,,Yakima,81.0,55.0,26.0,WASHINGTON
21,False,Adams,35.0,16.0,19.0,WASHINGTON
22,,Clallam,43.0,35.0,8.0,WASHINGTON
23,,Ferry,17.0,11.0,6.0,WASHINGTON
24,,Garfield,15.0,8.0,7.0,WASHINGTON
25,,Grant,66.0,50.0,16.0,WASHINGTON
26,,Grays Harbor,73.0,60.0,13.0,WASHINGTON
27,,Island,45.0,38.0,7.0,WASHINGTON
28,,Jefferson,45.0,23.0,22.0,WASHINGTON
29,,Kittitas,71.0,32.0,39.0,WASHINGTON
30,,Klickitat,39.0,20.0,19.0,WASHINGTON
31,,Lewis,50.0,35.0,15.0,WASHINGTON
32,,Lincoln,24.0,14.0,10.0,WASHINGTON
33,,Mason,96.0,52.0,44.0,WASHINGTON
34,,Okanogan,35.0,30.0,5.0,WASHINGTON
35,,Pacific,42.0,13.0,29.0,WASHINGTON
36,,San Juan,32.0,20.0,12.0,WASHINGTON
37,,Wahkiakum,19.0,8.0,11.0,WASHINGTON
38,,Whitman,21.0,18.0,3.0,WASHINGTON
0,True,Allegany,31.0,28.0,3.0,MARYLAND
1,,Anne Arundel,96.0,72.0,24.0,MARYLAND
2,,Anne Arundel County Police Department,960.0,698.0,262.0,MARYLAND
3,,Baltimore County,85.0,73.0,12.0,MARYLAND
4,,Baltimore County Police Department,2092.0,1833.0,259.0,MARYLAND
5,,Calvert,147.0,122.0,25.0,MARYLAND
6,,Carroll,141.0,113.0,28.0,MARYLAND
7,,Cecil,106.0,89.0,17.0,MARYLAND
8,,Charles,423.0,295.0,128.0,MARYLAND
9,,Frederick,236.0,176.0,60.0,MARYLAND
10,,Harford,380.0,285.0,95.0,MARYLAND
11,,Howard,69.0,53.0,16.0,MARYLAND
12,,Howard County Police Department,659.0,476.0,183.0,MARYLAND
13,,Montgomery,180.0,140.0,40.0,MARYLAND
14,,Montgomery County Police Department,1904.0,1365.0,539.0,MARYLAND
15,,Prince George's ,331.0,247.0,84.0,MARYLAND
16,,Prince George's County Police Department,1888.0,1675.0,213.0,MARYLAND
17,,Queen Anne's,66.0,60.0,6.0,MARYLAND
18,,Somerset,29.0,25.0,4.0,MARYLAND
19,,St. Mary's,264.0,115.0,149.0,MARYLAND
20,,Washington,246.0,100.0,146.0,MARYLAND
21,,Wicomico,108.0,87.0,21.0,MARYLAND
22,,Worcester,60.0,51.0,9.0,MARYLAND
23,False,Caroline,34.0,30.0,4.0,MARYLAND
24,,Dorchester,42.0,38.0,4.0,MARYLAND
25,,Garrett,57.0,31.0,26.0,MARYLAND
26,,Kent,28.0,25.0,3.0,MARYLAND
27,,Talbot,35.0,32.0,3.0,MARYLAND
0,True,Maui Police Department,486.0,372.0,114.0,HAWAII
1,False,Hawaii Police Department,559.0,431.0,128.0,HAWAII
2,,Kauai Police Department,197.0,150.0,47.0,HAWAII
0,True,Atlantic,133.0,110.0,23.0,NEW JERSEY
1,,Bergen,585.0,502.0,83.0,NEW JERSEY
2,,Burlington,89.0,71.0,18.0,NEW JERSEY
3,,Camden,187.0,155.0,32.0,NEW JERSEY
4,,Camden County Police Department,463.0,410.0,53.0,NEW JERSEY
5,,Cape May,148.0,134.0,14.0,NEW JERSEY
6,,Cumberland,63.0,56.0,7.0,NEW JERSEY
7,,Essex,522.0,449.0,73.0,NEW JERSEY
8,,Gloucester,109.0,92.0,17.0,NEW JERSEY
9,,Hudson,347.0,222.0,125.0,NEW JERSEY
10,,Hunterdon,32.0,28.0,4.0,NEW JERSEY
11,,Mercer,183.0,141.0,42.0,NEW JERSEY
12,,Middlesex,225.0,182.0,43.0,NEW JERSEY
13,,Monmouth,691.0,438.0,253.0,NEW JERSEY
14,,Morris,122.0,92.0,30.0,NEW JERSEY
15,,Ocean,278.0,139.0,139.0,NEW JERSEY
16,,Passaic,698.0,557.0,141.0,NEW JERSEY
17,,Salem,262.0,221.0,41.0,NEW JERSEY
18,,Somerset,225.0,166.0,59.0,NEW JERSEY
19,,Sussex,147.0,117.0,30.0,NEW JERSEY
20,,Union,249.0,205.0,44.0,NEW JERSEY
21,,Warren,23.0,19.0,4.0,NEW JERSEY
0,True,Allen,147.0,68.0,79.0,OHIO
1,,Brown,43.0,27.0,16.0,OHIO
2,,Carroll,35.0,21.0,14.0,OHIO
3,,Delaware,202.0,93.0,109.0,OHIO
4,,Fairfield,142.0,114.0,28.0,OHIO
5,,Fulton,24.0,22.0,2.0,OHIO
6,,Greene,141.0,63.0,78.0,OHIO
7,,Licking,206.0,84.0,122.0,OHIO
8,,Lorain,77.0,66.0,11.0,OHIO
9,,Madison,40.0,32.0,8.0,OHIO
10,,Medina,138.0,55.0,83.0,OHIO
11,,Miami,108.0,49.0,59.0,OHIO
12,,Perry,19.0,13.0,6.0,OHIO
13,,Pickaway,85.0,41.0,44.0,OHIO
14,,Portage,142.0,76.0,66.0,OHIO
15,,Richland,128.0,42.0,86.0,OHIO
16,,Summit,406.0,332.0,74.0,OHIO
17,,Union,55.0,37.0,18.0,OHIO
18,,Warren,183.0,94.0,89.0,OHIO
19,False,Ashland,77.0,49.0,28.0,OHIO
20,,Ashtabula,71.0,31.0,40.0,OHIO
21,,Athens,33.0,27.0,6.0,OHIO
22,,Champaign,29.0,26.0,3.0,OHIO
23,,Darke,66.0,28.0,38.0,OHIO
24,,Erie,85.0,42.0,43.0,OHIO
25,,Fayette,43.0,26.0,17.0,OHIO
26,,Hancock,92.0,36.0,56.0,OHIO
27,,Highland,47.0,30.0,17.0,OHIO
28,,Holmes,53.0,30.0,23.0,OHIO
29,,Knox,62.0,47.0,15.0,OHIO
30,,Marion,50.0,28.0,22.0,OHIO
31,,Monroe,27.0,20.0,7.0,OHIO
32,,Muskingum,110.0,73.0,37.0,OHIO
33,,Ottawa,63.0,44.0,19.0,OHIO
34,,Paulding,29.0,20.0,9.0,OHIO
35,,Scioto,76.0,37.0,39.0,OHIO
36,,Washington,87.0,43.0,44.0,OHIO
37,,Wyandot,28.0,15.0,13.0,OHIO
0,True,Dona Ana,203.0,143.0,60.0,NEW MEXICO
1,,Sandoval,15.0,12.0,3.0,NEW MEXICO
2,,Santa Fe,121.0,94.0,27.0,NEW MEXICO
3,,Valencia,61.0,55.0,6.0,NEW MEXICO
4,False,Catron,13.0,8.0,5.0,NEW MEXICO
5,,Chaves,46.0,37.0,9.0,NEW MEXICO
6,,Colfax,11.0,11.0,0.0,NEW MEXICO
7,,Curry,26.0,18.0,8.0,NEW MEXICO
8,,De Baca,5.0,5.0,0.0,NEW MEXICO
9,,Eddy,72.0,60.0,12.0,NEW MEXICO
10,,Guadalupe,6.0,5.0,1.0,NEW MEXICO
11,,Hidalgo,11.0,9.0,2.0,NEW MEXICO
12,,Lea,69.0,59.0,10.0,NEW MEXICO
13,,Lincoln,33.0,23.0,10.0,NEW MEXICO
14,,Luna,39.0,31.0,8.0,NEW MEXICO
15,,Mora,7.0,5.0,2.0,NEW MEXICO
16,,Otero,61.0,38.0,23.0,NEW MEXICO
17,,Quay,8.0,7.0,1.0,NEW MEXICO
18,,San Miguel,13.0,9.0,4.0,NEW MEXICO
19,,Sierra,16.0,14.0,2.0,NEW MEXICO
20,,Socorro,15.0,12.0,3.0,NEW MEXICO
21,,Taos,26.0,22.0,4.0,NEW MEXICO
22,,Union,7.0,5.0,2.0,NEW MEXICO
0,True,Alameda,1564.0,1003.0,561.0,CALIFORNIA
1,,Butte,269.0,94.0,175.0,CALIFORNIA
2,,Contra Costa,957.0,633.0,324.0,CALIFORNIA
3,,El Dorado,349.0,154.0,195.0,CALIFORNIA
4,,Fresno,1104.0,406.0,698.0,CALIFORNIA
5,,Imperial,286.0,190.0,96.0,CALIFORNIA
6,,Kern,1137.0,826.0,311.0,CALIFORNIA
7,,Kings,271.0,75.0,196.0,CALIFORNIA
8,,Los Angeles,16721.0,9316.0,7405.0,CALIFORNIA
9,,Madera,107.0,79.0,28.0,CALIFORNIA
10,,Marin,291.0,191.0,100.0,CALIFORNIA
11,,Merced,223.0,88.0,135.0,CALIFORNIA
12,,Monterey,416.0,295.0,121.0,CALIFORNIA
13,,Napa,139.0,100.0,39.0,CALIFORNIA
14,,Orange,3622.0,1745.0,1877.0,CALIFORNIA
15,,Placer,513.0,244.0,269.0,CALIFORNIA
16,,Riverside,3939.0,2003.0,1936.0,CALIFORNIA
17,,Sacramento,1923.0,1247.0,676.0,CALIFORNIA
18,,San Benito,54.0,26.0,28.0,CALIFORNIA
19,,San Bernardino,3059.0,1855.0,1204.0,CALIFORNIA
20,,San Diego,4254.0,2569.0,1685.0,CALIFORNIA
21,,San Francisco,1027.0,830.0,197.0,CALIFORNIA
22,,San Joaquin,699.0,274.0,425.0,CALIFORNIA
23,,San Luis Obispo,396.0,295.0,101.0,CALIFORNIA
24,,San Mateo,681.0,330.0,351.0,CALIFORNIA
25,,Santa Barbara,617.0,452.0,165.0,CALIFORNIA
26,,Santa Clara,1655.0,1257.0,398.0,CALIFORNIA
27,,Santa Cruz,332.0,142.0,190.0,CALIFORNIA
28,,Shasta,216.0,153.0,63.0,CALIFORNIA
29,,Solano,526.0,124.0,402.0,CALIFORNIA
30,,Sonoma,331.0,232.0,99.0,CALIFORNIA
31,,Stanislaus,611.0,456.0,155.0,CALIFORNIA
32,,Sutter,133.0,105.0,28.0,CALIFORNIA
33,,Tulare,747.0,531.0,216.0,CALIFORNIA
34,,Ventura,1247.0,756.0,491.0,CALIFORNIA
35,,Yolo,263.0,89.0,174.0,CALIFORNIA
36,,Yuba,162.0,118.0,44.0,CALIFORNIA
37,False,Alpine,17.0,13.0,4.0,CALIFORNIA
38,,Amador,86.0,45.0,41.0,CALIFORNIA
39,,Calaveras,101.0,49.0,52.0,CALIFORNIA
40,,Colusa,65.0,33.0,32.0,CALIFORNIA
41,,Del Norte,55.0,24.0,31.0,CALIFORNIA
42,,Glenn,55.0,22.0,33.0,CALIFORNIA
43,,Humboldt,235.0,182.0,53.0,CALIFORNIA
44,,Inyo,71.0,35.0,36.0,CALIFORNIA
45,,Lake,135.0,53.0,82.0,CALIFORNIA
46,,Lassen,81.0,59.0,22.0,CALIFORNIA
47,,Mariposa,71.0,56.0,15.0,CALIFORNIA
48,,Mendocino,165.0,123.0,42.0,CALIFORNIA
49,,Modoc,28.0,19.0,9.0,CALIFORNIA
50,,Mono,38.0,21.0,17.0,CALIFORNIA
51,,Nevada,155.0,63.0,92.0,CALIFORNIA
52,,Plumas,65.0,33.0,32.0,CALIFORNIA
53,,Sierra,17.0,11.0,6.0,CALIFORNIA
54,,Siskiyou,108.0,86.0,22.0,CALIFORNIA
55,,Tehama,113.0,79.0,34.0,CALIFORNIA
56,,Trinity,44.0,35.0,9.0,CALIFORNIA
57,,Tuolumne,126.0,62.0,64.0,CALIFORNIA
0,True,Benton,218.0,135.0,83.0,ARKANSAS
1,,Cleveland,12.0,7.0,5.0,ARKANSAS
2,,Craighead,121.0,45.0,76.0,ARKANSAS
3,,Crawford,70.0,33.0,37.0,ARKANSAS
4,,Crittenden,143.0,40.0,103.0,ARKANSAS
5,,Faulkner,164.0,47.0,117.0,ARKANSAS
6,,Garland,184.0,56.0,128.0,ARKANSAS
7,,Grant,17.0,14.0,3.0,ARKANSAS
8,,Jefferson,115.0,43.0,72.0,ARKANSAS
9,,Lincoln,21.0,9.0,12.0,ARKANSAS
10,,Little River,29.0,12.0,17.0,ARKANSAS
11,,Lonoke,67.0,31.0,36.0,ARKANSAS
12,,Madison,19.0,9.0,10.0,ARKANSAS
13,,Miller,68.0,24.0,44.0,ARKANSAS
14,,Perry,21.0,11.0,10.0,ARKANSAS
15,,Poinsett,37.0,10.0,27.0,ARKANSAS
16,,Pulaski,516.0,125.0,391.0,ARKANSAS
17,,Saline,93.0,48.0,45.0,ARKANSAS
18,,Sebastian,161.0,41.0,120.0,ARKANSAS
19,,Washington,274.0,150.0,124.0,ARKANSAS
20,False,Arkansas,50.0,11.0,39.0,ARKANSAS
21,,Ashley,36.0,17.0,19.0,ARKANSAS
22,,Baxter,52.0,32.0,20.0,ARKANSAS
23,,Boone,52.0,25.0,27.0,ARKANSAS
24,,Bradley,7.0,5.0,2.0,ARKANSAS
25,,Calhoun,12.0,6.0,6.0,ARKANSAS
26,,Carroll,23.0,20.0,3.0,ARKANSAS
27,,Chicot,11.0,7.0,4.0,ARKANSAS
28,,Clark,27.0,13.0,14.0,ARKANSAS
29,,Clay,26.0,10.0,16.0,ARKANSAS
30,,Cleburne,42.0,23.0,19.0,ARKANSAS
31,,Columbia,39.0,22.0,17.0,ARKANSAS
32,,Conway,41.0,18.0,23.0,ARKANSAS
33,,Cross,42.0,18.0,24.0,ARKANSAS
34,,Dallas,25.0,6.0,19.0,ARKANSAS
35,,Desha,7.0,6.0,1.0,ARKANSAS
36,,Drew,10.0,9.0,1.0,ARKANSAS
37,,Franklin,24.0,11.0,13.0,ARKANSAS
38,,Fulton,13.0,5.0,8.0,ARKANSAS
39,,Greene,30.0,22.0,8.0,ARKANSAS
40,,Hempstead,48.0,18.0,30.0,ARKANSAS
41,,Howard,24.0,11.0,13.0,ARKANSAS
42,,Independence,58.0,32.0,26.0,ARKANSAS
43,,Izard,35.0,19.0,16.0,ARKANSAS
44,,Jackson,38.0,15.0,23.0,ARKANSAS
45,,Johnson,45.0,16.0,29.0,ARKANSAS
46,,Lafayette,24.0,19.0,5.0,ARKANSAS
47,,Lawrence,24.0,11.0,13.0,ARKANSAS
48,,Lee,10.0,5.0,5.0,ARKANSAS
49,,Logan,30.0,13.0,17.0,ARKANSAS
50,,Marion,17.0,15.0,2.0,ARKANSAS
51,,Mississippi,94.0,39.0,55.0,ARKANSAS
52,,Monroe,16.0,6.0,10.0,ARKANSAS
53,,Montgomery,19.0,11.0,8.0,ARKANSAS
54,,Nevada,29.0,22.0,7.0,ARKANSAS
55,,Newton,17.0,7.0,10.0,ARKANSAS
56,,Ouachita,44.0,17.0,27.0,ARKANSAS
57,,Pike,22.0,8.0,14.0,ARKANSAS
58,,Polk,27.0,14.0,13.0,ARKANSAS
59,,Pope,83.0,33.0,50.0,ARKANSAS
60,,Prairie,21.0,7.0,14.0,ARKANSAS
61,,Randolph,11.0,10.0,1.0,ARKANSAS
62,,Scott,27.0,8.0,19.0,ARKANSAS
63,,Searcy,14.0,7.0,7.0,ARKANSAS
64,,Sevier,34.0,16.0,18.0,ARKANSAS
65,,Sharp,32.0,14.0,18.0,ARKANSAS
66,,St. Francis,37.0,17.0,20.0,ARKANSAS
67,,Stone,22.0,11.0,11.0,ARKANSAS
68,,Union,63.0,36.0,27.0,ARKANSAS
69,,Van Buren,38.0,20.0,18.0,ARKANSAS
70,,White,96.0,52.0,44.0,ARKANSAS
71,,Woodruff,14.0,5.0,9.0,ARKANSAS
0,True,Custer,12.0,11.0,1.0,SOUTH DAKOTA
1,,Lincoln,20.0,18.0,2.0,SOUTH DAKOTA
2,,McCook,8.0,7.0,1.0,SOUTH DAKOTA
3,,Meade,45.0,18.0,27.0,SOUTH DAKOTA
4,,Minnehaha,207.0,72.0,135.0,SOUTH DAKOTA
5,,Pennington,384.0,94.0,290.0,SOUTH DAKOTA
6,,Turner,10.0,8.0,2.0,SOUTH DAKOTA
7,,Union,28.0,8.0,20.0,SOUTH DAKOTA
8,False,Aurora,4.0,3.0,1.0,SOUTH DAKOTA
9,,Beadle,25.0,5.0,20.0,SOUTH DAKOTA
10,,Bennett,5.0,3.0,2.0,SOUTH DAKOTA
11,,Bon Homme,8.0,3.0,5.0,SOUTH DAKOTA
12,,Brookings,22.0,14.0,8.0,SOUTH DAKOTA
13,,Brown,59.0,16.0,43.0,SOUTH DAKOTA
14,,Brule,10.0,4.0,6.0,SOUTH DAKOTA
15,,Buffalo,1.0,1.0,0.0,SOUTH DAKOTA
16,,Butte,14.0,5.0,9.0,SOUTH DAKOTA
17,,Campbell,2.0,2.0,0.0,SOUTH DAKOTA
18,,Charles Mix,20.0,6.0,14.0,SOUTH DAKOTA
19,,Clark,3.0,3.0,0.0,SOUTH DAKOTA
20,,Clay,14.0,8.0,6.0,SOUTH DAKOTA
21,,Codington,28.0,10.0,18.0,SOUTH DAKOTA
22,,Corson,4.0,4.0,0.0,SOUTH DAKOTA
23,,Davison,10.0,7.0,3.0,SOUTH DAKOTA
24,,Day,5.0,3.0,2.0,SOUTH DAKOTA
25,,Deuel,6.0,5.0,1.0,SOUTH DAKOTA
26,,Dewey,4.0,3.0,1.0,SOUTH DAKOTA
27,,Douglas,4.0,4.0,0.0,SOUTH DAKOTA
28,,Edmunds,4.0,4.0,0.0,SOUTH DAKOTA
29,,Fall River,8.0,6.0,2.0,SOUTH DAKOTA
30,,Faulk,11.0,4.0,7.0,SOUTH DAKOTA
31,,Grant,8.0,4.0,4.0,SOUTH DAKOTA
32,,Gregory,4.0,3.0,1.0,SOUTH DAKOTA
33,,Hamlin,6.0,5.0,1.0,SOUTH DAKOTA
34,,Hand,3.0,2.0,1.0,SOUTH DAKOTA
35,,Hanson,4.0,3.0,1.0,SOUTH DAKOTA
36,,Harding,3.0,2.0,1.0,SOUTH DAKOTA
37,,Hughes,48.0,6.0,42.0,SOUTH DAKOTA
38,,Hutchinson,3.0,3.0,0.0,SOUTH DAKOTA
39,,Hyde,2.0,2.0,0.0,SOUTH DAKOTA
40,,Jackson,3.0,2.0,1.0,SOUTH DAKOTA
41,,Jerauld,5.0,4.0,1.0,SOUTH DAKOTA
42,,Jones,2.0,2.0,0.0,SOUTH DAKOTA
43,,Kingsbury,6.0,5.0,1.0,SOUTH DAKOTA
44,,Lake,13.0,7.0,6.0,SOUTH DAKOTA
45,,Lawrence,37.0,13.0,24.0,SOUTH DAKOTA
46,,Lyman,5.0,4.0,1.0,SOUTH DAKOTA
47,,Marshall,11.0,6.0,5.0,SOUTH DAKOTA
48,,McPherson,3.0,3.0,0.0,SOUTH DAKOTA
49,,Mellette,5.0,4.0,1.0,SOUTH DAKOTA
50,,Miner,4.0,3.0,1.0,SOUTH DAKOTA
51,,Moody,8.0,3.0,5.0,SOUTH DAKOTA
52,,Perkins,7.0,6.0,1.0,SOUTH DAKOTA
53,,Potter,3.0,2.0,1.0,SOUTH DAKOTA
54,,Roberts,34.0,5.0,29.0,SOUTH DAKOTA
55,,Sanborn,3.0,3.0,0.0,SOUTH DAKOTA
56,,Spink,13.0,8.0,5.0,SOUTH DAKOTA
57,,Stanley,6.0,5.0,1.0,SOUTH DAKOTA
58,,Sully,3.0,3.0,0.0,SOUTH DAKOTA
59,,Todd,1.0,1.0,0.0,SOUTH DAKOTA
60,,Tripp,4.0,3.0,1.0,SOUTH DAKOTA
61,,Walworth,13.0,5.0,8.0,SOUTH DAKOTA
62,,Yankton,32.0,12.0,20.0,SOUTH DAKOTA
63,,Ziebach,2.0,2.0,0.0,SOUTH DAKOTA
0,True,Adams,540.0,355.0,185.0,COLORADO
1,,Arapahoe,515.0,226.0,289.0,COLORADO
2,,Boulder,373.0,211.0,162.0,COLORADO
3,,Clear Creek,73.0,29.0,44.0,COLORADO
4,,Douglas,470.0,309.0,161.0,COLORADO
5,,Elbert,44.0,37.0,7.0,COLORADO
6,,El Paso,795.0,506.0,289.0,COLORADO
7,,Gilpin,57.0,40.0,17.0,COLORADO
8,,Jefferson,811.0,531.0,280.0,COLORADO
9,,Larimer,365.0,245.0,120.0,COLORADO
10,,Mesa,206.0,98.0,108.0,COLORADO
11,,Park,56.0,31.0,25.0,COLORADO
12,,Pueblo,347.0,92.0,255.0,COLORADO
13,,Teller,70.0,45.0,25.0,COLORADO
14,,Weld,351.0,144.0,207.0,COLORADO
15,False,Alamosa,44.0,27.0,17.0,COLORADO
16,,Archuleta,33.0,14.0,19.0,COLORADO
17,,Baca,12.0,4.0,8.0,COLORADO
18,,Bent,27.0,13.0,14.0,COLORADO
19,,Chaffee,54.0,20.0,34.0,COLORADO
20,,Cheyenne,9.0,5.0,4.0,COLORADO
21,,Conejos,30.0,10.0,20.0,COLORADO
22,,Costilla,9.0,6.0,3.0,COLORADO
23,,Crowley,13.0,6.0,7.0,COLORADO
24,,Custer,23.0,10.0,13.0,COLORADO
25,,Delta,65.0,34.0,31.0,COLORADO
26,,Dolores,8.0,5.0,3.0,COLORADO
27,,Eagle,74.0,42.0,32.0,COLORADO
28,,Fremont,115.0,52.0,63.0,COLORADO
29,,Garfield,136.0,53.0,83.0,COLORADO
30,,Grand,51.0,24.0,27.0,COLORADO
31,,Gunnison,31.0,13.0,18.0,COLORADO
32,,Hinsdale,5.0,4.0,1.0,COLORADO
33,,Huerfano,23.0,10.0,13.0,COLORADO
34,,Jackson,7.0,3.0,4.0,COLORADO
35,,Kiowa,6.0,5.0,1.0,COLORADO
36,,Kit Carson,31.0,7.0,24.0,COLORADO
37,,Lake,27.0,12.0,15.0,COLORADO
38,,La Plata,129.0,103.0,26.0,COLORADO
39,,Las Animas,31.0,13.0,18.0,COLORADO
40,,Lincoln,22.0,21.0,1.0,COLORADO
41,,Logan,52.0,19.0,33.0,COLORADO
42,,Mineral,6.0,4.0,2.0,COLORADO
43,,Moffat,37.0,34.0,3.0,COLORADO
44,,Montezuma,70.0,29.0,41.0,COLORADO
45,,Montrose,98.0,44.0,54.0,COLORADO
46,,Morgan,51.0,17.0,34.0,COLORADO
47,,Otero,23.0,20.0,3.0,COLORADO
48,,Ouray,7.0,7.0,0.0,COLORADO
49,,Phillips,4.0,4.0,0.0,COLORADO
50,,Pitkin,58.0,23.0,35.0,COLORADO
51,,Prowers,30.0,10.0,20.0,COLORADO
52,,Rio Blanco,27.0,11.0,16.0,COLORADO
53,,Rio Grande,34.0,14.0,20.0,COLORADO
54,,Routt,49.0,40.0,9.0,COLORADO
55,,Saguache,19.0,8.0,11.0,COLORADO
56,,San Juan,3.0,3.0,0.0,COLORADO
57,,San Miguel,36.0,16.0,20.0,COLORADO
58,,Sedgwick,7.0,6.0,1.0,COLORADO
59,,Summit,59.0,50.0,9.0,COLORADO
60,,Washington,45.0,9.0,36.0,COLORADO
61,,Yuma,24.0,9.0,15.0,COLORADO
0,True,Andrew,28.0,15.0,13.0,MISSOURI
1,,Bates,43.0,19.0,24.0,MISSOURI
2,,Bollinger,16.0,11.0,5.0,MISSOURI
3,,Boone,75.0,58.0,17.0,MISSOURI
4,,Buchanan,108.0,77.0,31.0,MISSOURI
5,,Caldwell,13.0,6.0,7.0,MISSOURI
6,,Callaway,26.0,23.0,3.0,MISSOURI
7,,Cape Girardeau,82.0,42.0,40.0,MISSOURI
8,,Cass,86.0,68.0,18.0,MISSOURI
9,,Christian,82.0,46.0,36.0,MISSOURI
10,,Clay,197.0,124.0,73.0,MISSOURI
11,,Clinton,21.0,17.0,4.0,MISSOURI
12,,Cole,84.0,52.0,32.0,MISSOURI
13,,Dallas,22.0,16.0,6.0,MISSOURI
14,,DeKalb,11.0,6.0,5.0,MISSOURI
15,,Franklin,136.0,109.0,27.0,MISSOURI
16,,Greene,334.0,129.0,205.0,MISSOURI
17,,Jackson,128.0,93.0,35.0,MISSOURI
18,,Jasper,134.0,86.0,48.0,MISSOURI
19,,Jefferson,221.0,150.0,71.0,MISSOURI
20,,Lafayette,52.0,43.0,9.0,MISSOURI
21,,Lincoln,108.0,50.0,58.0,MISSOURI
22,,McDonald,30.0,24.0,6.0,MISSOURI
23,,Moniteau,12.0,7.0,5.0,MISSOURI
24,,Newton,68.0,35.0,33.0,MISSOURI
25,,Osage,12.0,9.0,3.0,MISSOURI
26,,Platte,127.0,83.0,44.0,MISSOURI
27,,Polk,30.0,17.0,13.0,MISSOURI
28,,St. Charles,46.0,32.0,14.0,MISSOURI
29,,St. Charles County Police Department,167.0,130.0,37.0,MISSOURI
30,,St. Louis County Police Department,1160.0,880.0,280.0,MISSOURI
31,,Warren,60.0,36.0,24.0,MISSOURI
32,,Webster,34.0,18.0,16.0,MISSOURI
33,False,Adair,27.0,12.0,15.0,MISSOURI
34,,Atchison,10.0,5.0,5.0,MISSOURI
35,,Audrain,45.0,35.0,10.0,MISSOURI
36,,Barry,38.0,25.0,13.0,MISSOURI
37,,Benton,26.0,18.0,8.0,MISSOURI
38,,Butler,43.0,20.0,23.0,MISSOURI
39,,Camden,97.0,58.0,39.0,MISSOURI
40,,Carroll,8.0,7.0,1.0,MISSOURI
41,,Carter,14.0,9.0,5.0,MISSOURI
42,,Cedar,30.0,11.0,19.0,MISSOURI
43,,Chariton,15.0,9.0,6.0,MISSOURI
44,,Clark,11.0,4.0,7.0,MISSOURI
45,,Cooper,10.0,9.0,1.0,MISSOURI
46,,Crawford,37.0,23.0,14.0,MISSOURI
47,,Daviess,7.0,6.0,1.0,MISSOURI
48,,Dent,19.0,12.0,7.0,MISSOURI
49,,Douglas,11.0,6.0,5.0,MISSOURI
50,,Dunklin,20.0,12.0,8.0,MISSOURI
51,,Gasconade,10.0,9.0,1.0,MISSOURI
52,,Gentry,5.0,5.0,0.0,MISSOURI
53,,Grundy,16.0,6.0,10.0,MISSOURI
54,,Henry,41.0,26.0,15.0,MISSOURI
55,,Hickory,14.0,8.0,6.0,MISSOURI
56,,Holt,10.0,5.0,5.0,MISSOURI
57,,Howard,13.0,9.0,4.0,MISSOURI
58,,Howell,37.0,28.0,9.0,MISSOURI
59,,Iron,17.0,12.0,5.0,MISSOURI
60,,Johnson,57.0,31.0,26.0,MISSOURI
61,,Knox,4.0,3.0,1.0,MISSOURI
62,,Laclede,30.0,23.0,7.0,MISSOURI
63,,Lawrence,34.0,26.0,8.0,MISSOURI
64,,Lewis,12.0,6.0,6.0,MISSOURI
65,,Linn,7.0,6.0,1.0,MISSOURI
66,,Livingston,10.0,9.0,1.0,MISSOURI
67,,Macon,18.0,12.0,6.0,MISSOURI
68,,Maries,13.0,10.0,3.0,MISSOURI
69,,Marion,40.0,16.0,24.0,MISSOURI
70,,Mercer,9.0,3.0,6.0,MISSOURI
71,,Miller,18.0,15.0,3.0,MISSOURI
72,,Monroe,9.0,8.0,1.0,MISSOURI
73,,Montgomery,19.0,17.0,2.0,MISSOURI
74,,Morgan,43.0,27.0,16.0,MISSOURI
75,,New Madrid,16.0,13.0,3.0,MISSOURI
76,,Nodaway,15.0,13.0,2.0,MISSOURI
77,,Oregon,11.0,7.0,4.0,MISSOURI
78,,Ozark,14.0,9.0,5.0,MISSOURI
79,,Pemiscot,43.0,18.0,25.0,MISSOURI
80,,Perry,38.0,26.0,12.0,MISSOURI
81,,Pettis,50.0,25.0,25.0,MISSOURI
82,,Phelps,65.0,24.0,41.0,MISSOURI
83,,Pike,22.0,8.0,14.0,MISSOURI
84,,Pulaski,34.0,21.0,13.0,MISSOURI
85,,Ralls,10.0,9.0,1.0,MISSOURI
86,,Randolph,44.0,25.0,19.0,MISSOURI
87,,Reynolds,10.0,9.0,1.0,MISSOURI
88,,Ripley,10.0,9.0,1.0,MISSOURI
89,,Saline,37.0,23.0,14.0,MISSOURI
90,,Schuyler,7.0,4.0,3.0,MISSOURI
91,,Scotland,6.0,2.0,4.0,MISSOURI
92,,Scott,50.0,24.0,26.0,MISSOURI
93,,Shannon,8.0,4.0,4.0,MISSOURI
94,,Shelby,10.0,5.0,5.0,MISSOURI
95,,St. Clair,73.0,21.0,52.0,MISSOURI
96,,Ste. Genevieve,64.0,45.0,19.0,MISSOURI
97,,St. Francois,69.0,56.0,13.0,MISSOURI
